dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
mimic3_mort_icu,RC-Logit,3,0.8521539039700727,0.05262248857561782,0.16887037473152522,0.0,1.7284766244653404e-07,0.001653975579682806,0.00019246049361257427
mimic3_mort_icu,RF-NoCal,3,0.856820257261492,0.05185869635347188,0.18093385482450708,2.434052959188193e-12,0.72756111900864,0.0011808708428029864,5.663970807410627e-05
mimic3_mort_icu,CF-Iso,4,0.8586021199345828,0.05062203774692669,0.20046587681860129,1.2414037435792835e-06,1.8055105028869535e-05,0.0004383008216967007,0.00012088060607226141
mimic3_mort_icu,CF-Logit,4,0.8571960627338073,0.05192159382796387,0.17994044011114285,0.0,3.1987926454818316e-08,0.0012738520144031235,0.0001687307084437633
mimic3_mort_icu,RC-Iso,4,0.8528496643457311,0.05062484402689603,0.20042155389730953,2.056253278759357e-09,0.0006479157228297739,0.00025608528162788266,7.465318301859226e-05
mimic3_mort_icu,RC-Logit,4,0.8560199874649901,0.05208251520556169,0.17739881716854167,0.0,1.347292784308321e-07,0.001163978879735277,0.00014695282871277112
mimic3_mort_icu,RF-NoCal,4,0.8595509675460761,0.05186533671659089,0.18082897566238199,5.551115123125783e-14,0.48970756231757073,0.0012432050355503752,7.039712033137378e-05
mimic3_mort_icu,CF-Iso,5,0.8574887809213232,0.050600538385118944,0.20080544184120763,3.713179968944935e-06,0.00012151610997169665,0.0003432335028163003,9.534533136217719e-05
mimic3_mort_icu,CF-Logit,5,0.8583248562880701,0.05227002555646983,0.174437242908132,0.0,6.694897570141066e-09,0.0012864788082741084,0.00017168437455724055
mimic3_mort_icu,RC-Iso,5,0.8560002484967781,0.051290590135022004,0.1899066328369805,0.0,9.67463734382386e-09,0.0005773394445336418,0.00016838120012003797
mimic3_mort_icu,RC-Logit,5,0.8613029922439627,0.052111819912569524,0.17693597303453557,0.0,5.92024814696947e-10,0.0014084531518144074,0.0002072302744380133
mimic3_mort_icu,RF-NoCal,5,0.8575963506473158,0.05181802591012507,0.18157621156690562,1.0380585280245214e-13,0.5976365942848176,0.0012577387784809735,6.250485218186886e-05
mimic3_mort_icu,CF-Iso,6,0.8576985648392973,0.0504692686727161,0.20287874072599332,0.0003322220592119063,0.00017629871880754888,0.00027659578216129984,9.569962159383677e-05
mimic3_mort_icu,CF-Logit,6,0.8588324078970562,0.052156126129781835,0.17623619218597664,0.0,5.707564369633287e-09,0.0013585430316092422,0.00017464886847440002
mimic3_mort_icu,RC-Iso,6,0.8496164519556574,0.050837615198142116,0.1970610054205575,2.6706875126070173e-05,0.0039157348866480065,0.0002723565743426088,5.4636119597811096e-05
mimic3_mort_icu,RC-Logit,6,0.8585976824921167,0.05255158519925453,0.1699902361866218,0.0,1.791535784223e-11,0.0018260359917355033,0.0002736358444402056
