dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
mimic3_los_7,CF-Iso,0,0.7590949841348928,0.06588786884658508,0.07113090698831137,3.1280807904265906e-05,0.0343200300301594,0.0003725922608687005,5.184711446089954e-05
mimic3_los_7,CF-Logit,0,0.759637888760686,0.07192135237617168,-0.013927488008153022,0.0,0.0,0.005209460053544011,0.0033792975634788923
mimic3_los_7,RC-Iso,0,0.7518084528679567,0.06617947808453746,0.06701987997966208,0.0005370231520667179,5.6331845054766994e-05,0.00024287406833069228,0.00011316330584901583
mimic3_los_7,RC-Logit,0,0.7548010524291533,0.0669922475511275,0.05556167909268328,2.2537527399890678e-14,0.0026690651280468864,0.0008836605024323544,9.614957917421316e-05
mimic3_los_7,RF-NoCal,0,0.7578288895736088,0.06618369235993235,0.06696046828169278,1.779103331966958e-05,0.023125235793719095,0.0004469684336654349,6.965576182763132e-05
mimic3_los_7,CF-Iso,1,0.7609233776507403,0.06599252862927697,0.0696554420943083,0.00018933077817528954,0.03225088775540165,0.00031704059339925404,4.992739103828311e-05
mimic3_los_7,CF-Logit,1,0.7580322568661388,0.07550755206854672,-0.06448474708981222,0.0,0.0,0.00951590662322162,0.00537187180420297
mimic3_los_7,RC-Iso,1,0.7530460022552055,0.0664207108103684,0.0636190472137842,3.464120740259702e-07,1.7501297547297938e-06,0.0004719193450038849,0.0001674258147123266
mimic3_los_7,RC-Logit,1,0.7519593735249385,0.0673736190626303,0.05018520818549799,9.87909754002203e-12,0.0812858206434503,0.0006270378472762754,2.2343286634037983e-05
mimic3_los_7,RF-NoCal,1,0.7602555025261796,0.06630575447687935,0.06523967005518405,3.639320846904326e-07,0.026444415278887294,0.0005139882578557697,6.640116881278728e-05
mimic3_los_7,CF-Iso,2,0.7568680508207898,0.06595559144155155,0.07017617242997598,0.008052300496610987,0.06873321577713043,0.00025780256507913063,3.637386936630784e-05
mimic3_los_7,CF-Logit,2,0.7583182549256131,0.07235570956435172,-0.02005093644396938,0.0,0.0,0.006048259834013119,0.0037249823853248744
mimic3_los_7,RC-Iso,2,0.7552771695424905,0.0668225163795008,0.05795450256997303,2.7249763223657908e-08,0.00010061634624530603,0.0005667690940800129,0.00012567855429995744
mimic3_los_7,RC-Logit,2,0.7481209353857451,0.06710556054018554,0.05396422367007947,5.542843961592325e-11,0.010355689994878778,0.0006024400305082965,6.086327137748595e-05
mimic3_los_7,RF-NoCal,2,0.759622864984878,0.06625090964439491,0.06601285745216634,2.739253522454632e-06,0.023642801953016122,0.0005261026091227328,7.090907024869256e-05
mimic3_los_7,CF-Iso,3,0.7615015198597928,0.06582068536022911,0.0720780413414066,0.012816176572433391,0.0623264573970377,0.00023635293229839916,3.906995666929371e-05
mimic3_los_7,CF-Logit,3,0.7587350964143984,0.07144949553262571,-0.007275379722234021,0.0,0.0,0.003995221883284499,0.0026626255847100955
mimic3_los_7,RC-Iso,3,0.7497982716648309,0.06666503361975162,0.06017465129801591,0.007774422078213106,0.00861555669039593,0.000266849310848201,6.760974675961299e-05
mimic3_los_7,RC-Logit,3,0.7589597701526197,0.06674346948485478,0.05906888399739796,1.687538997430238e-14,0.591951471762882,0.0007468433909299636,8.10040526855981e-06
mimic3_los_7,RF-NoCal,3,0.7587391938078005,0.06634709948286625,0.06465679950732883,4.9156273882466905e-06,0.014366811025869246,0.0005132510871976058,7.64773759306171e-05
mimic3_los_7,CF-Iso,4,0.7584051196657402,0.06610050964070227,0.06813315542908549,0.0001695169309641198,0.03258525198370437,0.00031862042010899006,4.8782300122823676e-05
mimic3_los_7,CF-Logit,4,0.762074062297862,0.07248656606809134,-0.021895715521986325,0.0,0.0,0.006530760278283832,0.003949460307102898
mimic3_los_7,RC-Iso,4,0.7562843088407545,0.06584556056255439,0.07172735756566995,0.00365384601778429,0.3080682044348345,0.00017236288942219381,1.4290597344735096e-05
mimic3_los_7,RC-Logit,4,0.7551231075505673,0.0669754898622221,0.05579792439196252,1.4432899320127035e-15,0.024511814695669737,0.000862848678023083,4.668802031628517e-05
mimic3_los_7,RF-NoCal,4,0.7590374840474816,0.06626589046399342,0.06580166196873916,6.120673340381799e-07,0.0237558726763967,0.0005531459511220944,6.975310917487768e-05
mimic3_los_7,CF-Iso,5,0.7591195684953062,0.06579308312937815,0.07246717001690428,0.011875231998542679,0.10298431454573613,0.00022018987493080522,3.2211043634741254e-05
mimic3_los_7,CF-Logit,5,0.7604136619115052,0.07266331792033476,-0.024387514627884688,0.0,0.0,0.006130222326334499,0.003841497100950498
mimic3_los_7,RC-Iso,5,0.7502969244418803,0.06631963175081171,0.06504403205570586,1.1604051067704013e-05,0.0001201544447345426,0.0003803675613131505,0.00011681170966150411
mimic3_los_7,RC-Logit,5,0.7575523155189594,0.06715754528008634,0.05323135707342963,1.1601830607332886e-13,0.00263023054598451,0.0006862622444067566,6.853625728025905e-05
